id,stock_code,stock_name,close,change_rate,change_amount,volume,amount,amplitude,high,low,open,pre_close,volume_ratio,turnover,pe_dynamic,pb
5199,688108,赛诺医疗,20.09,-2.10%,-0.43,15.86万,3.23亿,4.87%,21.00,20.00,20.70,20.52,0.83,3.79%,85.81,8.46
5200,600812,华北制药,4.67,-2.10%,-0.10,17.85万,8359.24万,3.35%,4.79,4.63,4.77,4.77,1.21,1.04%,56.47,1.44
5201,600566,济川药业,28.00,-2.10%,-0.60,4.60万,1.29亿,2.62%,28.61,27.86,28.61,28.60,0.81,0.50%,16.12,1.72
5202,001328,登康口腔,29.35,-2.10%,-0.63,1.88万,5525.47万,4.54%,30.14,28.78,29.92,29.98,1.88,1.16%,24.39,3.21
5203,000811,冰轮环境,34.45,-2.10%,-0.74,56.77万,19.45亿,6.71%,35.59,33.23,35.19,35.19,1.00,5.80%,72.92,5.23
5204,001270,铖昌科技,143.40,-2.12%,-3.10,16.63万,23.41亿,5.57%,144.36,136.20,144.06,146.50,1.44,8.12%,165.22,19.46
5205,300085,银之杰,40.00,-2.13%,-0.87,37.75万,15.04亿,4.62%,41.00,39.11,40.82,40.87,0.83,5.79%,-327.25,67.35
5206,688617,惠泰医疗,217.20,-2.13%,-4.73,1.40万,3.06亿,4.72%,226.00,215.52,226.00,221.93,0.97,0.99%,33.38,10.83
5207,601001,晋控煤业,16.80,-2.15%,-0.37,22.95万,3.85亿,4.60%,17.33,16.54,17.20,17.17,0.96,1.37%,20.76,1.44
5208,301088,戎美股份,16.80,-2.15%,-0.37,3.78万,6347.86万,5.94%,17.48,16.46,17.15,17.17,0.98,2.01%,69.86,1.51
5209,920184,国源科技,13.94,-2.18%,-0.31,1.84万,2580.22万,4.21%,14.48,13.88,14.25,14.25,1.16,2.05%,292.78,2.93
5210,300294,博雅生物,15.67,-2.18%,-0.35,6.58万,1.03亿,3.25%,16.00,15.48,15.96,16.02,1.04,1.31%,65.37,1.06
5211,600130,波导股份,5.37,-2.19%,-0.12,75.96万,4.04亿,4.74%,5.42,5.16,5.35,5.49,0.49,10.13%,393.80,4.43
5212,920837,华原股份,12.08,-2.19%,-0.27,1.03万,1250.66万,4.70%,12.57,11.99,12.57,12.35,1.31,0.75%,20.67,3.31
